nome_municipio,sigla_uf,nome_regiao,taxa_prevista,meta,total_alunos,taxa_prevista_pct,gap_meta,em_risco
São Salvador do Tocantins,TO,Norte,0.49760687,52.91,3,49.76069,-3.1493112182617153,True
Portel,PA,Norte,0.4636436,49.51,74,46.36436,-3.145639190673826,True
São José do Norte,RS,Sul,0.5508521,58.23,24,55.085213,-3.1447872924804656,True
Itaíba,PE,Nordeste,0.5975736,62.9,14,59.75736,-3.142641448974608,True
Santos,SP,Sudeste,0.56782323,59.92,111,56.782322,-3.137678070068361,True
Miracema do Tocantins,TO,Norte,0.4449557,47.63,18,44.49557,-3.134428863525393,True
São João,PE,Nordeste,0.60850626,63.98,23,60.850628,-3.129372100830075,True
Marmeleiro,PR,Sul,0.7544583,78.57000000000001,16,75.44583,-3.1241687011718824,True
Água Preta,PE,Nordeste,0.61144626,64.26,18,61.144627,-3.1153733825683645,True
Monte Carlo,SC,Sul,0.63315946,66.43,9,63.315945,-3.1140553283691474,True
Vargem Alegre,MG,Sudeste,0.7689235,80.0,8,76.89235,-3.1076507568359375,True
Chopinzinho,PR,Sul,0.76896054,80.0,22,76.89606,-3.10394287109375,True
Taquaritinga do Norte,PE,Nordeste,0.5992457,63.02,24,59.924572,-3.0954280090332063,True
Tibagi,PR,Sul,0.7500114,78.09,28,75.00114,-3.088863220214847,True
União da Vitória,PR,Sul,0.7263443,75.71,49,72.63443,-3.0755700683593687,True
Duque de Caxias,RJ,Sudeste,0.49425545,52.5,700,49.425545,-3.0744552612304688,True
Rio do Campo,SC,Sul,0.66871154,69.94,9,66.871155,-3.0688452148437477,True
Lauro Muller,SC,Sul,0.6297376,66.04,20,62.973763,-3.066237487792975,True
Macaíba,RN,Nordeste,0.33224046,36.28,38,33.224045,-3.0559552001953136,True
Coração de Maria,BA,Nordeste,0.34936067,37.99,13,34.936066,-3.053934326171877,True
Moreno,PE,Nordeste,0.54737544,57.79,43,54.737545,-3.0524549865722648,True
Capistrano,CE,Nordeste,0.749658,77.99,18,74.9658,-3.0242025756835886,True
Poço Verde,SE,Nordeste,0.34816235,37.82,13,34.816235,-3.0037654113769534,True
Ourém,PA,Norte,0.50691086,53.67999999999999,17,50.691086,-2.988914184570305,True
Ipixuna do Pará,PA,Norte,0.43012804,46.0,31,43.012802,-2.9871978759765625,True
Ribeira do Amparo,BA,Nordeste,0.32886133,35.87,20,32.88613,-2.9838687133789037,True
Cristalina,GO,Centro-Oeste,0.6688899,69.87,97,66.888985,-2.9810153198242233,True
Sertão Santana,RS,Sul,0.72590756,75.57,1,72.59076,-2.979240722656243,True
Santa Tereza do Oeste,PR,Sul,0.7137108,74.35,18,71.37108,-2.978921508789057,True
Irati,SC,Sul,0.7702577,80.0,3,77.02577,-2.9742279052734375,True
Cristiano Otoni,MG,Sudeste,0.70382804,73.35,7,70.382805,-2.9671951293945256,True
Santo Expedito,SP,Sudeste,0.77047724,80.0,1,77.04772,-2.9522781372070312,True
Ibirapitanga,BA,Nordeste,0.35311022,38.26,20,35.311024,-2.948976287841795,True
Tapauá,AM,Norte,0.5136255,54.31,28,51.36255,-2.9474511718750023,True
Sete Quedas,MS,Centro-Oeste,0.5557323,58.52,11,55.57323,-2.9467692565918,True
Itu,SP,Sudeste,0.6472071,67.66,79,64.72071,-2.9392892456054653,True
Serra Dourada,BA,Nordeste,0.3319103,36.13,13,33.191032,-2.938967590332034,True
Jacuípe,AL,Nordeste,0.5561113,58.54999999999999,8,55.611126,-2.938874053955068,True
Cuité,PB,Nordeste,0.5255714,55.49,14,52.55714,-2.932859649658205,True
Campo Alegre,SC,Sul,0.65752995,68.68,10,65.753,-2.9270016479492256,True
Pomerode,SC,Sul,0.6301548,65.94,29,63.01548,-2.9245199584960915,True
Fraiburgo,SC,Sul,0.65808177,68.73,41,65.808174,-2.9218258666992227,True
Araxá,MG,Sudeste,0.6767192,70.59,121,67.67192,-2.918079223632816,True
Pureza,RN,Nordeste,0.39672503,42.59,14,39.672504,-2.9174955749511753,True
Cabedelo,PB,Nordeste,0.5110402,54.02,58,51.10402,-2.9159808349609406,True
Serra Preta,BA,Nordeste,0.3591959,38.83,10,35.91959,-2.9104100036621077,True
Arealva,SP,Sudeste,0.7086209,73.77,5,70.86209,-2.907908935546871,True
Cristalândia,TO,Norte,0.4935698,52.25,7,49.35698,-2.8930206298828125,True
Antônio Gonçalves,BA,Nordeste,0.36628574,39.52,7,36.628574,-2.8914256286621125,True
Sítio Novo do Tocantins,TO,Norte,0.42962086,45.85,13,42.962086,-2.8879142761230483,True
Albertina,MG,Sudeste,0.68353164,71.23,4,68.353165,-2.8768353271484415,True
Acaiaca,MG,Sudeste,0.7712372,80.0,1,77.12372,-2.87628173828125,True
Mandaguari,PR,Sul,0.771249,80.0,43,77.1249,-2.8750991821289062,True
Colômbia,SP,Sudeste,0.77131975,80.0,7,77.13197,-2.8680267333984375,True
Mirinzal,MA,Nordeste,0.7714096,80.0,10,77.14096,-2.859039306640625,True
Itaguatins,TO,Norte,0.36635017,39.48,9,36.635017,-2.8449826049804656,True
Londrina,PR,Sul,0.71976435,74.82,470,71.97643,-2.8435671997070244,True
São José da Boa Vista,PR,Sul,0.7715733,80.0,9,77.15733,-2.8426666259765625,True
